"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"0","2023/08/22","パルシステム東京(宅配利用代金)","-31703","三井住友カード","食費","食料品","","1","CHuKqAatKRqjwAsFCVs96A"
"0","2023/08/22","振替 SBI証券","-2400","住信SBIネット銀行(一晃)","特別な支出","投資","","1","agZzyX2ZBnHK4PWAW_wT3Q"
"1","2023/08/22","積立増資(8月4回)","-200","パルシステム","食費","食料品","","0","EmDtB-eKZKNPhqJuWmJflA"
"1","2023/08/22","パルシステム手数料(8月4回)","-165","パルシステム","その他","雑費","","0","AhndMSghTZVW2AO3hquT0Q"
"1","2023/08/22","増資(課税対象外)","-200","パルシステム","食費","食費","","0","Od5WGt-bLSgFp2QGG5w6KQ"
"1","2023/08/22","7品目の大根サラダ(国産野菜) 120g","-160","パルシステム","食費","食料品","","0","xB5baY7C3CSgOzbxLnlFbw"
"1","2023/08/22","掛川深蒸し茶・三角ティーバッグ 120g(4g×30)","-538","パルシステム","食費","食料品","","0","FGnopUWuqcYAWxoMIe-1Dw"
"1","2023/08/22","徳用焼きおにぎりバーガー(産直米・国産牛焼肉) 5個600g","-1186","パルシステム","食費","外食","","0","yK_kR9oixag4U2zXeEly2A"
"1","2023/08/22","国産大豆木綿とうふ小分けパック 100g×3 レシピ","-184","パルシステム","食費","食料品","","0","tacMyeBijNTNEvxd8lIHxQ"
"1","2023/08/22","なめらか絹とうふ小分けパック 150g×3 レシピ","-162","パルシステム","食費","食料品","","0","ChOwT-nCq9InQCFJFCrIqA"
"1","2023/08/22","産直鶏ひき肉ジャンボパック(バラ凍結) 500g レシピ","-518","パルシステム","食費","食料品","","0","0ud40XVnPqd5UfZVcZMNcg"
"1","2023/08/22","コア・フード野付の秋鮭スモークサーモン 35g×2 レシピ","-410","パルシステム","食費","食料品","","0","OCAjlQo3rqDe2D7--3LIbg"
"1","2023/08/22","冷やし豆乳担々麺セット 1セット","-1078","パルシステム","食費","食料品","","0","1U5a_4MSYfCcxLtZCYvxmg"
"1","2023/08/22","国産揚げ茄子 200g","-343","パルシステム","食費","食料品","","0","5qEHzAFjGwulc5cv8Hu3Zw"
"1","2023/08/22","大根(カット) 1/2カット レシピ","-160","パルシステム","食費","食料品","","0","rcgXDkoXsoLAn8ccopR7nA"
"1","2023/08/22","ブロッコリー 1個 レシピ","-246","パルシステム","食費","食料品","","0","Lo9KuwLi_2apLAQ17qQ0vw"
"1","2023/08/22","きゅうり 3本 レシピ","-214","パルシステム","食費","食料品","","0","UVONeWf4gShq0b6oVxawYw"
"1","2023/08/22","徳用ミニトマト(特大パック) 400g レシピ","-462","パルシステム","食費","食料品","","0","NmzU6SefeJsqEr5NPlavaQ"
"1","2023/08/22","産直たまご(赤玉またはピンク玉) 10個(MS~LL) レシピ","-354","パルシステム","食費","食料品","","0","oT-MkNMY-d_IqnBmcBhd6A"
"1","2023/08/22","【定期お届け】 【毎週】酪農家の低脂肪牛乳 1000ml レシピ","-279","パルシステム","食費","食料品","","0","8Dj3AqxcfzPiA9I0yjbkHQ"
"1","2023/08/22","【定期お届け】 【毎週】酪農家の牛乳 1000ml レシピ","-582","パルシステム","食費","食料品","","0","tVL7hnimio1LPOr5jsJ2tA"
"1","2023/08/21","ローソン/iD","-440","三井住友カード","日用品","お小遣い(一晃)","","0","ebQOz9ml53C-V8Wi4E_7HA"
"0","2023/08/21","DF.ウエルスナビ","-15000","三井住友銀行(一晃)","その他","事業投資","","1","vguoscXbx2ztWx3qnukmkA"
"1","2023/08/21","普通預金利息","2","三井住友銀行(一晃)","収入","その他入金","","0","B_HyyQCWlQCfXCD9HlEbzA"
"0","2023/08/21","振替 SBI証券","-1600","住信SBIネット銀行(一晃)","特別な支出","投資","","1","Czezc76PmOzsKEiQvJ8Lgw"
"1","2023/08/21","セブン-イレブン/iD","-3762","三井住友カード","食費","食料品","","0","IUZ9EQx8IDYpUAOghlYdiQ"
"1","2023/08/21","口座振替3 アメリカンエキスプレス","-1100","三菱UFJ銀行","現金・カード","カード引き落とし","","0","DYPzAS9MtrYG4uzYM-w-kQ"
"1","2023/08/21","利息 ス-パ-フツウ","8","三菱UFJ銀行","収入","その他入金","","0","LWl5Db8od9NV5op4YkxkSg"
"1","2023/08/20","ラバウチヨガプラス","-970","三井住友カード","日用品","お小遣い(美代子)","","0","r7-L5cRP56_avsaGvbfDgQ"
"1","2023/08/20","NETFLIX.COM","-1490","三井住友カード","趣味・娯楽","映画・音楽・ゲーム","","0","_bIvuCoHlcl7AZgZUSKdhQ"
"1","2023/08/20","高島屋 新宿店","-5242","三井住友カード","食費","外食","","0","ToGdyirgQVmXJrnb-Z7nbA"
"1","2023/08/20","マクドナルド/iD","-1730","三井住友カード","食費","外食","","0","zZlkNguor1qqm9LOMsAnOw"
"1","2023/08/20","タカシマヤ タイムズスクエア/iD","-4810","三井住友カード","日用品","お小遣い(美代子)","","0","VUZvZA3zK5h1gSCSqrbmTw"
"1","2023/08/19","おふろの王様 花小金井店","-8150","三井住友カード","日用品","お小遣い(美代子)","","0","iKGSOrkw0BDdR2AcBOpjmQ"
"1","2023/08/19","おふろの王様 花小金井店","-1180","三井住友カード","日用品","お小遣い(美代子)","","0","HBqIPiJ-8RF55ik5A_z3PQ"
"1","2023/08/19","オーケー三鷹北口店/iD","-416","三井住友カード","食費","食料品","","0","lp_CMiyGS2nXmK_9OhAKyg"
"1","2023/08/19","飲料自販機/iD","-120","三井住友カード","食費","食料品","","0","kPdSYvqusuTX68Y0f23Iwg"
"0","2023/08/18","カード (082)","26000","財布（青木家）","未分類","未分類","","1","CzaGSjnAS8nT5Wmd9RATmw"
"0","2023/08/18","カード (082)","-26000","三井住友銀行(一晃)","現金・カード","ATM引き出し","","1","zry4Np1fUmKy05APaWZaIQ"
"1","2023/08/18","ローソン/iD","-841","三井住友カード","日用品","お小遣い(一晃)","","0","v8DOikPkngzxiM9QlA9eNA"
"1","2023/08/18","日本通信株式会社","-3974","三井住友カード","通信費","携帯電話","","0","MzBkrGZYg4rliknX7I0Ztg"
"1","2023/08/18","いなげや 武蔵野関前店","-223","三井住友カード","食費","食料品","","0","aSVLmGub5myBmRX2s5nthg"
"1","2023/08/18","日本通信株式会社","-3468","三井住友カード","通信費","携帯電話","","0","HekL1el4pVPLcg4prOkQuw"
"1","2023/08/18","コカ・コーラ Cmode 自販機/iD","-150","三井住友カード","日用品","お小遣い(一晃)","","0","RqUx4phcCI9yKP5CEwz3Iw"
"1","2023/08/18","アトレヴィ三鷹","-990","三井住友カード","日用品","お小遣い(美代子)","","0","7EI0qPVfEgGSXq4W0zOiEg"
"1","2023/08/18","セブン-イレブン/iD","-3278","三井住友カード","食費","食料品","","0","o0wTxio05H5aH9PlOoIFBQ"
"1","2023/08/18","サイゼリヤ","-2000","三井住友カード","食費","外食","","0","KfoTG6h9l3U0fo0M87NZ2A"
"0","2023/08/18","振替 SBI証券","-2050","住信SBIネット銀行(一晃)","特別な支出","投資","","1","aiWWzgS10T6j1ujIxy1JIg"
"1","2023/08/17","いなげや 武蔵野関前店","-4183","三井住友カード","食費","食料品","","0","y8aMOHqiMUiJemfztJBjFA"
"1","2023/08/17","おふろの王様 花小金井店","-9450","三井住友カード","日用品","お小遣い(美代子)","","0","GdYZ4YP82LNlfn2TTQNqcg"
"1","2023/08/17","おふろの王様 花小金井店","-950","三井住友カード","日用品","お小遣い(美代子)","","0","P-kV6PtUugyLU_jMfF0hiA"
"1","2023/08/17","ローソン/iD","-1258","三井住友カード","日用品","お小遣い(一晃)","","0","XA4h0E2nWdQAzZvBYhNPNA"
"1","2023/08/17","セブン-イレブン/iD","-440","三井住友カード","食費","食料品","","0","7dOeW5aMrEKpin9md8bIDg"
"0","2023/08/17","振替 SBI証券","-2900","住信SBIネット銀行(一晃)","特別な支出","投資","","1","z6XZBHk07rDseWEuSDoc4A"
"1","2023/08/16","ローソン/iD","-1648","三井住友カード","日用品","お小遣い(一晃)","","0","H6GVqYmY7A30lgaZqjZpGw"
"1","2023/08/16","FWD生命保険株式会社","-3536","三井住友カード","保険","生命保険","","0","zFkyy3rZ6eyC2-DHR9hSDA"
"1","2023/08/16","APPLE COM BILL","-400","三井住友カード","通信費","その他通信費","","0","1iF-W-IRNZndTO7k5A132w"
"0","2023/08/16","振替 SBI証券","-1500","住信SBIネット銀行(一晃)","特別な支出","投資","","1","7ReooZHTkaho3lPtDL2siw"
"1","2023/08/15","D19 地球の歩き方 マレーシア ブルネイ 2023~2024 (地球の歩き方D アジア) 販売: アマゾンジャパン合同会社","-2090","Amazon.co.jp","日用品","日用品","","0","a3Esef-k0iSlMSIWURa-Zw"
"1","2023/08/15","D20 地球の歩き方 シンガポール 2023~2024 (地球の歩き方D アジア) 販売: アマゾンジャパン合同会社","-1980","Amazon.co.jp","日用品","日用品","","0","Tok6_ldYrgclzx3p3fgGKA"
"1","2023/08/15","アテニア (Attenir) スキンクリア クレンズオイル アロマタイプ [ レギュラーボトル / 175mL / 2ケ月分 ] クレンジングオイル クレンジング メイク落とし 販売: アテニア 公式ストア","-1870","Amazon.co.jp","自動車","ガソリン","","0","u_bqKoS_xEY-4Rp3mGLrUQ"
"1","2023/08/15","GronG(グロング) ストレッチ用ポール ヨガポール 98cm ソフト グリーン 販売: GronG SHOP","-3582","Amazon.co.jp","日用品","お小遣い(美代子)","","0","mFvTvva2D8LvdQ8NtApiVw"
"1","2023/08/15","Amazonベーシック マウス USB有線 ブラック 販売: アマゾンジャパン合同会社","-850","Amazon.co.jp","日用品","お小遣い(美代子)","","0","dqSy6gNeVaBSdIlAc-EtpQ"
"1","2023/08/15","積立増資(8月3回)","-200","パルシステム","食費","食料品","","0","rddnkyn-ZgPtrd2z8V4w7g"
"1","2023/08/15","パルシステム手数料(8月3回)","-165","パルシステム","その他","雑費","","0","9BawJTKs_r0X6sKR0aASFA"
"1","2023/08/15","増資(課税対象外)","-200","パルシステム","食費","食費","","0","pLjffY-zjTabZcNhDk8RDg"
"1","2023/08/15","までっこ鶏ぷりっとすてーき(レモンスパイス風味) 250g レシピ","-462","パルシステム","食費","食料品","","0","QDHarpprOuKeP8Pre6jMWQ"
"1","2023/08/15","ロメインレタスとケールのチキンシーザーサラダセット 1セット","-875","パルシステム","食費","食料品","","0","79fvbAZdE0hqlYiKfYzlkQ"
"1","2023/08/15","骨にカルシウムウエハース(鉄・コラーゲン) 40枚","-513","パルシステム","食費","食料品","","0","S5gcXKsC9MpGlw5WiAKlBg"
"1","2023/08/15","徳用産直大豆ドライパック(パウチ) 60g×10 レシピ","-819","パルシステム","食費","食料品","","0","mg59fUpAD86Fc2gRoCWt5g"
"1","2023/08/15","までっこ鶏むし鶏(ペアパック) 100g×2 レシピ","-410","パルシステム","食費","食料品","","0","vRRzC_yTev-HYVRY8Sa4FQ"
"1","2023/08/15","ロースハムスライス(ペアパック) 65g×2 レシピ","-473","パルシステム","食費","食料品","","0","DpiHPq4LpvERc3JUhhYwjQ"
"1","2023/08/15","北海道産えだまめ(味風香) 200g","-644","パルシステム","食費","食料品","","0","_ONoRsgT6GTnJ8ay9E6-Ig"
"1","2023/08/15","ブロッコリー 1個 レシピ","-268","パルシステム","食費","食料品","","0","9blZtWuu79yoWH7V0sd8oQ"
"1","2023/08/15","徳用ミニトマト(特大パック) 400g レシピ","-462","パルシステム","食費","食料品","","0","TXLxh4AL7hfhWutqe0Rn5g"
"1","2023/08/15","産直たまご(赤玉またはピンク玉) 10個(MS~LL) レシピ","-354","パルシステム","食費","食料品","","0","s7DJkK1tgH_stTRmpOKhbg"
"1","2023/08/15","【定期お届け】 【毎週】酪農家の低脂肪牛乳 1000ml レシピ","-279","パルシステム","食費","食料品","","0","0qCCcVi2fitE6NGamyFTsg"
"1","2023/08/15","【定期お届け】 【毎週】酪農家の牛乳 1000ml レシピ","-291","パルシステム","食費","食料品","","0","4tCT6zpL2ANbp5S4BK-o1A"
"1","2023/08/14","ホールマーク スヌーピー ノート B6 横罫 ピンク 812188 販売: アマゾンジャパン合同会社","-715","Amazon.co.jp","日用品","子育て用品","","0","DC-7xSF6djBuAMrL8KrCvg"
"1","2023/08/14","ベアーズ","-25975","三井住友カード","その他","雑費","","0","HhpoTLItKet7kiBmwmq2sg"
"1","2023/08/14","日本通信株式会社","-1598","三井住友カード","通信費","携帯電話","","0","_cKON8qZ9_ZTFe9H8aHrNg"
"0","2023/08/14","DF.ウエルスナビ","-15000","三井住友銀行(一晃)","その他","事業投資","","1","SOzWmGmcO7_z-b-TNVdFHA"
"1","2023/08/13","コストコ ホ-ルセ-ル ジヤパン","-43690","VIEW CARD(VIEW's NET サービスID)","日用品","日用品","","0","0eFz0QOgCb86SZ5lwouemg"
"1","2023/08/12","ロイヤルホスト武蔵境店/iD","-5896","三井住友カード","食費","外食","","0","a4oKMWmZRFUfpWpNVkHchg"
"1","2023/08/11","プールWAI委託売店/iD","-1650","三井住友カード","趣味・娯楽","アウトドア","","0","ik9ZtPr6Ky1yQ6S2H9Muig"
"1","2023/08/11","セブン-イレブン/iD","-380","三井住友カード","食費","食料品","","0","qVdHHlO2iMOfkQyEzO-8vg"
"1","2023/08/11","セブン-イレブン/iD","-1934","三井住友カード","食費","食料品","","0","RGQB7VPbeBxvBXBx5HURsA"
"1","2023/08/11","ローソン/iD","-162","三井住友カード","日用品","お小遣い(一晃)","","0","8fHY9gIFtx3GHeYIjNNhZQ"
"1","2023/08/11","1371マツモトキヨシDS武蔵野八/iD","-3371","三井住友カード","日用品","ドラッグストア","","0","lyViOv07A2-zejXi21Oo3A"
"1","2023/08/11","プールWAI委託売店/iD","-600","三井住友カード","趣味・娯楽","アウトドア","","0","eStEIiP0YTfUViLLVrJk5Q"
"1","2023/08/11","プールWAI委託売店/iD","-1600","三井住友カード","趣味・娯楽","アウトドア","","0","Kf-_M1zOxiDxIOvn_ujkDA"
"1","2023/08/11","よみうりランド 遊園地/iD","-10700","三井住友カード","趣味・娯楽","アウトドア","","0","PzLL-MY_CDzVY38mUrKYag"
"1","2023/08/11","セブン-イレブン/iD","-240","三井住友カード","食費","食料品","","0","aWqmoM95vBJZFURQinvSow"
"1","2023/08/11","","-2000","財布（青木家）","自動車","駐車場","","0","q8_paAxZPAd9juFZUPpvAA"
"1","2023/08/11","","-1800","財布（青木家）","趣味・娯楽","アウトドア","","0","ZSLaNDyPdDtZ4OipsVSplQ"
"1","2023/08/11","らーめん","-2800","財布（青木家）","食費","外食","","0","Alje1NfFp0eKPBXewLpsnw"
"1","2023/08/10","インディゴ Disney トイ・ストーリー 手提げ ビニール袋 デイリーバッグS バズ 10枚入り DP135 販売: アマゾンジャパン合同会社","-418","Amazon.co.jp","日用品","お小遣い(美代子)","","0","fo6Kw0DuRl7N2mNLh1RhsA"
"1","2023/08/10","ジャパックス 手付き ポリ袋 乳白 約10L 縦50cm×横26cm+マチ14cm×厚み0.017mm 開きやすい エンボス加工 増量タイプ 100枚入り ゴミ袋 PRH28W 販売: アマゾンジャパン合同会社","-409","Amazon.co.jp","日用品","介護用品","","0","b2mo8UBmkLcLiJFFqgu06g"
"1","2023/08/10","インディゴ MOOMIN リトルミイ 手提げ ビニール袋 デイリーバッグS ソーイング レッド 7枚入り MP681 販売: アマゾンジャパン合同会社","-440","Amazon.co.jp","日用品","お小遣い(美代子)","","0","k-XyFNogWKEtIqNi-4VBtg"
"1","2023/08/10","[SyuAmi] 子供 サングラス 折れないフレーム 偏光レンズ UVカット 反射光防止 赤ちゃん キッズ サングラス 女の子 男の子 ベビー (サクラ) 販売: SyuAmi","-980","Amazon.co.jp","日用品","子育て用品","","0","k98rXIK5wx3k6l_LQ4UWyQ"
"1","2023/08/10","NALC 日焼け止め ジェル 敏感肌 SPF50+ PA++++ ウォータープルーフ 顔 子供 60g 販売: NALC OFFICIAL SHOP 【60日返金保証完備】","-2729","Amazon.co.jp","日用品","お小遣い(美代子)","","0","bfww9LnmVJ5EfZrgph2-wQ"
"1","2023/08/10","ローソン/iD","-2460","三井住友カード","日用品","お小遣い(一晃)","","0","gzs4Et9KhkKK_JgD5VTnkg"
"1","2023/08/10","(株)シャトレーゼ/iD","-941","三井住友カード","食費","食料品","","0","BFyedESGp37xV9JXBIEs4w"
"1","2023/08/10","AMAZON.CO.JP","-880","三井住友カード","特別な支出","家具・家電","","0","aGUI5t3nYlKwQPZMqGCBEw"
"0","2023/08/10","振替 SBI証券","-900","住信SBIネット銀行(一晃)","特別な支出","投資","","1","ipVfx0TGLqA7CndlWVOemw"
"0","2023/08/10","ミツイスミトモカ-ド (カ","-626965","三井住友銀行(一晃)","現金・カード","カード引き落とし","","1","Q1GfUz2D3NCPGla743Haow"
"1","2023/08/09","割引","219","Amazon.co.jp","収入","一時所得","","0","2h7VaTkGo3_iB88z1vGUrA"
